LATITUDE,LONGITUDE,,,,,
40.6719314,-73.8516353,,"[40.6719314,-73.8516353],",,,"[[40.6719314,-73.8516353],,],"
40.6968646,-73.8371654,,"[40.6968646,-73.8371654],",,,
40.6584537,-73.754838,,"[40.6584537,-73.754838],",,,
40.6030058,-73.9615535,,"[40.6030058,-73.9615535],",,,
40.8325384,-73.857965,,"[40.8325384,-73.857965],",,,
40.753791,-73.7442778,,"[40.753791,-73.7442778],",,,
40.6303175,-74.0868212,,"[40.6303175,-74.0868212],",,,
40.6700025,-73.7785875,,"[40.6700025,-73.7785875],",,,
40.7304917,-73.7917365,,"[40.7304917,-73.7917365],",,,
40.7594939,-73.8115172,,"[40.7594939,-73.8115172],",,,
40.7509782,-73.9347418,,"[40.7509782,-73.9347418],",,,
40.7728042,-73.9578523,,"[40.7728042,-73.9578523],",,,
40.7671845,-73.9624695,,"[40.7671845,-73.9624695],",,,
40.7795851,-73.9618379,,"[40.7795851,-73.9618379],",,,
40.753261,-74.0038223,,"[40.753261,-74.0038223],",,,
40.6442255,-73.899792,,"[40.6442255,-73.899792],",,,
40.6082027,-73.9207095,,"[40.6082027,-73.9207095],",,,
40.6160915,-73.9171955,,"[40.6160915,-73.9171955],",,,
40.5727617,-73.9978187,,"[40.5727617,-73.9978187],",,,
40.6054977,-73.9830665,,"[40.6054977,-73.9830665],",,,
40.6339615,-74.0147538,,"[40.6339615,-74.0147538],",,,
40.6840525,-73.9774579,,"[40.6840525,-73.9774579],",,,
40.6695546,-73.9449618,,"[40.6695546,-73.9449618],",,,
40.6756104,-73.9410164,,"[40.6756104,-73.9410164],",,,
40.6083842,-73.97699,,"[40.6083842,-73.97699],",,,
40.6960346,-73.9845292,,"[40.6960346,-73.9845292],",,,
40.8706075,-73.8917458,,"[40.8706075,-73.8917458],",,,
40.8717651,-73.8909882,,"[40.8717651,-73.8909882],",,,
40.8161389,-73.8948691,,"[40.8161389,-73.8948691],",,,
40.8453986,-73.9022431,,"[40.8453986,-73.9022431],",,,
40.6708977,-73.953187,,"[40.6708977,-73.953187],",,,
40.6691002,-73.9366568,,"[40.6691002,-73.9366568],",,,
40.8100528,-73.9251435,,"[40.8100528,-73.9251435],",,,
40.7752366,-73.8290196,,"[40.7752366,-73.8290196],",,,
40.6916518,-73.7791971,,"[40.6916518,-73.7791971],",,,
40.7573874,-73.888544,,"[40.7573874,-73.888544],",,,
40.820027,-73.9029885,,"[40.820027,-73.9029885],",,,
40.8650713,-73.8718381,,"[40.8650713,-73.8718381],",,,
40.8361602,-73.8717742,,"[40.8361602,-73.8717742],",,,
40.7659806,-73.8628294,,"[40.7659806,-73.8628294],",,,
40.7356626,-73.9152009,,"[40.7356626,-73.9152009],",,,
40.7045457,-73.7272221,,"[40.7045457,-73.7272221],",,,
40.6059516,-74.0760061,,"[40.6059516,-74.0760061],",,,
40.5332847,-74.161605,,"[40.5332847,-74.161605],",,,
40.7067957,-73.8089358,,"[40.7067957,-73.8089358],",,,
40.6815787,-73.7654756,,"[40.6815787,-73.7654756],",,,
40.6944406,-73.8151197,,"[40.6944406,-73.8151197],",,,
40.6888383,-73.8218926,,"[40.6888383,-73.8218926],",,,
40.766359,-73.8875543,,"[40.766359,-73.8875543],",,,
40.7350806,-73.7768918,,"[40.7350806,-73.7768918],",,,
40.7697264,-73.7495834,,"[40.7697264,-73.7495834],",,,
40.74266,-73.9320831,,"[40.74266,-73.9320831],",,,
40.6299872,-73.9715677,,"[40.6299872,-73.9715677],",,,
40.8468472,-73.8324971,,"[40.8468472,-73.8324971],",,,
40.8263977,-73.9211541,,"[40.8263977,-73.9211541],",,,
40.6372109,-74.126889,,"[40.6372109,-74.126889],",,,
40.8288265,-73.8646913,,"[40.8288265,-73.8646913],",,,
40.8422585,-73.8551984,,"[40.8422585,-73.8551984],",,,
40.7389122,-73.8475522,,"[40.7389122,-73.8475522],",,,
40.6995795,-73.868634,,"[40.6995795,-73.868634],",,,
40.8653624,-73.8704197,,"[40.8653624,-73.8704197],",,,
40.8379935,-73.8691395,,"[40.8379935,-73.8691395],",,,
40.6898805,-73.7287165,,"[40.6898805,-73.7287165],",,,
40.7429094,-73.8920363,,"[40.7429094,-73.8920363],",,,
40.611401,-74.0330273,,"[40.611401,-74.0330273],",,,
