DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/16,9:10,BRONX,10455,40.8130953,-73.8982589,"(40.8130953, -73.8982589)",BRUCKNER BOULEVARD,LEGGETT AVENUE,,3,0,0,0,0,0,3,0,Passing or Lane Usage Improper,Unspecified,Unspecified,,,3551171,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/31/16,9:10,,,,,,FULTON STREET,,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3550826,TAXI,TAXI,,,
10/31/16,9:10,BROOKLYN,11204,40.6315982,-73.9849297,"(40.6315982, -73.9849297)",48 STREET,16 AVENUE,,2,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3552910,SPORT UTILITY / STATION WAGON,,,,
10/31/16,9:10,,,,,,AVENUE U,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3552872,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,9:10,QUEENS,11691,40.5957346,-73.774772,"(40.5957346, -73.774772)",BEACH 43 STREET,BEACH CHANNEL DRIVE,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3551315,SPORT UTILITY / STATION WAGON,,,,
10/31/16,9:10,,,,,,,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Following Too Closely,,,,3552228,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,9:10,,,40.7448949,-73.7702044,"(40.7448949, -73.7702044)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3550787,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/16,9:10,,,40.6581407,-74.0035571,"(40.6581407, -74.0035571)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3551567,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,9:10,,,,,,YORK AVENUE,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3551048,PASSENGER VEHICLE,,,,
10/31/16,9:10,,,,,,WEST 5 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3550871,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,9:10,,,,,,PARK CIRCLE,PARKSIDE AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unsafe Lane Changing,,,,3551732,PASSENGER VEHICLE,,,,
10/31/16,9:10,,,,,,NOSTRAND AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3552685,TAXI,,,,
10/31/16,9:10,,,,,,MACOMBS PLACE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3551454,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,9:10,,,,,,EAST FORDHAM ROAD,BRONX RIVER PARKWAY,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3551220,PASSENGER VEHICLE,,,,
10/31/16,9:10,,,,,,DE KALB AVENUE,,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3552630,,,,,
10/31/16,9:10,,,,,,AMSTERDAM AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3552365,SPORT UTILITY / STATION WAGON,,,,
10/31/16,9:10,,,,,,99 STREET,HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,3551261,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/31/16,9:10,,,,,,59 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3551498,TAXI,,,,
10/31/16,9:10,,,,,,54 STREET,FLUSHING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3551509,SPORT UTILITY / STATION WAGON,,,,
10/31/16,9:10,,,,,,3 AVENUE,68 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3551266,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/16,9:10,STATEN ISLAND,10305,40.5948239,-74.0762607,"(40.5948239, -74.0762607)",MCCLEAN AVENUE,KENSINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3551058,SPORT UTILITY / STATION WAGON,,,,
10/31/16,9:10,STATEN ISLAND,10304,40.6145915,-74.084708,"(40.6145915, -74.084708)",,,519       TARGEE STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3551310,SPORT UTILITY / STATION WAGON,,,,
