Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
29252212,11/9/14 19:32,11/9/14 19:48,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10014,,,,,WEST HOUSTON STREET,6 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/14 3:32,The Police Department responded to the complaint and determined that police action was not necessary.,11/9/14 19:48,02 MANHATTAN,MANHATTAN,983383,204650,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.72839362,-74.00312813,"(40.72839362151153, -74.0031281261585)"
29256888,11/10/14 18:56,11/10/14 22:47,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10028,,,,,2 AVENUE,EAST   86 STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/14 2:56,This complaint does not fall under the Police Department's jurisdiction.,11/10/14 22:47,08 MANHATTAN,MANHATTAN,997615,222681,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77787408,-73.9517434,"(40.777874081223175, -73.95174339794139)"
29257839,11/10/14 14:51,11/11/14 0:33,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10024,,,,,WEST   79 STREET,WEST END AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/14 22:51,The Police Department responded to the complaint and determined that police action was not necessary.,11/11/14 0:33,07 MANHATTAN,MANHATTAN,989466,225039,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78435473,-73.98116491,"(40.78435473152669, -73.98116491397248)"
29261550,11/10/14 15:44,11/10/14 17:29,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,10027,,,,,LASALLE STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/10/14 23:44,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/10/14 17:29,09 MANHATTAN,MANHATTAN,996201,235336,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81261065,-73.95682636,"(40.81261064701504, -73.95682636367653)"
29263607,11/10/14 8:30,11/10/14 8:49,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10025,WEST 97 STREET,WEST 97 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/10/14 16:30,The Police Department responded to the complaint and took action to fix the condition.,11/10/14 8:49,07 MANHATTAN,MANHATTAN,992987,228607,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.79414515,-73.96844587,"(40.7941451538066, -73.96844586848012)"
29264615,11/11/14 11:08,11/11/14 14:59,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10029,,,,,EAST   97 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/14 19:08,The Police Department responded to the complaint and took action to fix the condition.,11/11/14 14:59,11 MANHATTAN,MANHATTAN,999041,225257,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78494225,-73.94658891,"(40.78494224578962, -73.94658891280613)"
29266845,11/11/14 16:24,11/11/14 18:06,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Highway,10024,,,,,,,,NEW YORK,,Precinct,Closed,11/12/14 0:24,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/11/14 18:06,07 MANHATTAN,MANHATTAN,988893,226078,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,Henry Hudson Pkwy/Rt 9A,South/Downtown,Ramp,W 79 St (Exit 10),,,,40.78720683,-73.98323331,"(40.78720682871079, -73.98323331087676)"
29266884,11/11/14 15:43,11/11/14 16:44,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   35 STREET,MADISON AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/14 23:43,The Police Department responded to the complaint and determined that police action was not necessary.,11/11/14 16:44,05 MANHATTAN,MANHATTAN,989107,211951,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74843177,-73.98247073,"(40.74843176574406, -73.98247072801945)"
29268388,11/11/14 17:34,11/11/14 19:00,NYPD,New York City Police Department,Traffic,Chronic Stoplight Violation,Street/Sidewalk,10017,,,,,EAST   42 STREET,3 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/12/14 1:34,The Police Department responded and upon arrival those responsible for the condition were gone.,11/11/14 19:00,06 MANHATTAN,MANHATTAN,991331,212802,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.75076604,-73.97444325,"(40.75076604483484, -73.97444325196058)"
29269744,11/11/14 11:45,11/11/14 16:21,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10024,,,,,WEST   79 STREET,RIVERSIDE DRIVE,INTERSECTION,NEW YORK,,Precinct,Closed,11/11/14 19:45,The Police Department responded and upon arrival those responsible for the condition were gone.,11/11/14 16:21,07 MANHATTAN,MANHATTAN,989058,225265,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78497527,-73.98263805,"(40.78497527266366, -73.98263804878785)"
