ï»¿Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
34803319,11/17/16 16:40,11/18/16 0:31,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10036,11 AVENUE,11 AVENUE,WEST 43 STREET,WEST 44 STREET,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/18/16 0:40,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/16 0:31,04 MANHATTAN,MANHATTAN,984913,216825,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.76181097,-73.9976067,"(40.761810965032595, -73.99760670336228)"
34806059,11/18/16 11:18,11/18/16 13:11,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10037,,,,,WEST  142 STREET,5 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/18/16 19:18,The Police Department responded to the complaint and determined that police action was not necessary.,11/18/16 13:11,10 MANHATTAN,MANHATTAN,1002393,237008,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.81718927,-73.93445291,"(40.817189271808985, -73.9344529146941)"
34806094,11/18/16 16:00,11/18/16 17:14,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10004,,,,,BATTERY PLACE,WEST STREET,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 0:00,The Police Department responded to the complaint and determined that police action was not necessary.,11/18/16 17:14,01 MANHATTAN,MANHATTAN,979624,196054,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70479849,-74.01668465,"(40.70479849480593, -74.01668464800518)"
34806264,11/18/16 18:20,11/18/16 19:45,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10010,,,,,EAST   25 STREET,3 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 2:20,The Police Department responded to the complaint and took action to fix the condition.,11/18/16 19:45,06 MANHATTAN,MANHATTAN,989179,208921,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74011513,-73.9822131,"(40.74011513382139, -73.9822130951929)"
34806839,11/18/16 9:23,11/18/16 14:43,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10032,WEST 165 STREET,WEST 165 STREET,FORT WASHINGTON AVENUE,RIVERSIDE DRIVE,,,BLOCKFACE,NEW YORK,,Precinct,Closed,11/18/16 17:23,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/16 14:43,12 MANHATTAN,MANHATTAN,999780,245543,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84062038,-73.94387341,"(40.840620381043735, -73.94387340897231)"
34851952,11/23/16 18:12,11/23/16 19:35,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10006,165 BROADWAY,BROADWAY,LIBERTY STREET,CORTLANDT STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,11/24/16 2:12,This complaint does not fall under the Police Department's jurisdiction.,11/23/16 19:35,01 MANHATTAN,MANHATTAN,981426,197799,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70958887,-74.01018609,"(40.70958886614738, -74.01018608557624)"
34809416,11/18/16 17:21,11/18/16 22:46,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10025,,,,,WEST  108 STREET,COLUMBUS AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 1:21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/18/16 22:46,07 MANHATTAN,MANHATTAN,994794,230939,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80054389,-73.96191613,"(40.8005438877909, -73.96191613279878)"
34810199,11/18/16 23:56,11/19/16 9:44,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10016,,,,,EAST   34 STREET,2 AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 7:56,The Police Department responded to the complaint and determined that police action was not necessary.,11/19/16 9:44,06 MANHATTAN,MANHATTAN,990933,210621,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74478006,-73.97588188,"(40.74478005822341, -73.9758818809488)"
34810951,11/18/16 7:51,11/19/16 1:13,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10003,225 EAST 10 STREET,EAST 10 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,11/18/16 15:51,The Police Department responded to the complaint and took action to fix the condition.,11/19/16 1:13,03 MANHATTAN,MANHATTAN,988270,204955,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7292299,-73.9854957,"(40.72922990103701, -73.98549570354864)"
34812320,11/19/16 15:21,11/19/16 18:51,NYPD,New York City Police Department,Traffic,Congestion/Gridlock,Street/Sidewalk,10024,,,,,WEST   87 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,Precinct,Closed,11/19/16 23:21,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/19/16 18:51,07 MANHATTAN,MANHATTAN,991305,226498,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.78835802,-73.97452271,"(40.78835801987836, -73.97452271419073)"
