Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Gas Main Rupture,1000 Broadway,Brooklyn,5/12/14 15:31,5/12/14 18:40,40.69604555,-73.93366405
Utility-Gas Main Rupture,Flatbush Ave & Shore Parkway,Brooklyn,8/21/14 21:53,11/2/14 12:31,40.59651127,-73.90787552
Utility-Gas Main Rupture,85-01 24th Avenue,queens,10/24/14 8:23,11/2/14 12:36,40.76518368,-73.88419897
Utility-Gas Main Rupture,21-15 Amory Court,Queens,5/13/11 21:05,5/13/11 23:33,40.71211777,-73.91008561
Utility-Gas Main Rupture,186 Dyckman Street,Manhattan,5/24/11 13:21,5/24/11 16:38,40.86437699,-73.92653575
Utility-Gas Main Rupture,Washington Street & Water Street,Brooklyn,6/2/11 8:27,6/2/11 10:55,40.703199,-73.98958407
Utility-Gas Main Rupture,75-09 Main St,Queens,6/3/11 15:58,6/4/11 0:50,40.72376288,-73.82024433
Utility-Gas Main Rupture,110-10 179 Place,Queens,7/7/11 10:04,7/7/11 21:06,40.69923006,-73.7749345
Utility-Gas Main Rupture,640 West 249 Street,Bronx,7/8/11 11:37,7/8/11 13:41,40.89754388,-73.91100675
Utility-Gas Main Rupture,West 231st Street & Kingsbridge Ave,Bronx,7/26/11 20:28,7/27/11 6:53,40.87980696,-73.90657532
Utility-Gas Main Rupture,53 East 65th Street,Manhattan,8/10/11 9:45,8/10/11 10:26,40.7670929,-73.96806158
Utility-Gas Main Rupture,128 Clymer St,Brooklyn,8/15/11 11:23,8/15/11 20:31,40.70617746,-73.96420986
Utility-Gas Main Rupture,440 West 164th Street,Manhattan,10/26/11 11:52,10/26/11 12:55,40.83674439,-73.93770781
Utility-Gas Main Rupture,231 Richmond Valley Road,Staten Island,11/1/11 17:12,11/1/11 19:28,40.52102871,-74.23625946
Utility-Gas Main Rupture,241 Washington Avenue,Brooklyn,4/6/12 9:36,4/6/12 11:37,40.69128503,-73.96645717
Utility-Gas Main Rupture,131 Parkside Avenue,Brooklyn,4/9/12 9:13,4/9/12 10:33,40.65372503,-73.96481103
Utility-Gas Main Rupture,50 Street & 54 Avenue,Queens,9/6/12 17:07,9/6/12 19:03,,
Utility-Gas Main Rupture,112-20  Rockaway Blvd,Queens,9/17/12 11:39,9/17/12 13:07,40.67726181,-73.82615606
Utility-Gas Main Rupture,976 2nd Avenue,Manhattan,10/1/12 12:09,10/1/12 12:51,40.75588877,-73.96777458
Utility-Gas Main Rupture,529 West 20 Street,Manhattan,11/11/12 14:12,11/11/12 15:08,40.74628648,-74.00662605
Utility-Gas Main Rupture,570 Wythe Avenue,Brooklyn,12/4/12 10:35,12/5/12 5:12,40.70596692,-73.96690784
Utility-Gas Main Rupture,Rockaway Beach Blvd & Beach 67th Street,Queens,11/20/13 15:32,11/20/13 19:27,40.59072654,-73.79599263
Utility-Gas Main Rupture,101 Street & Fort Hamilton Parkway,Brooklyn,12/17/13 14:45,12/17/13 17:11,40.61115688,-74.03255894
Utility-Gas Main Rupture,1192 Fairfax Avenue,Bronx,4/14/14 12:28,4/14/14 13:27,40.83690392,-73.82385608
Utility-Gas Main Rupture,3981  Boston Road,Bronx,4/16/14 9:57,4/16/14 23:14,40.88439012,-73.83313669
Utility-Gas Main Rupture,,Brooklyn,6/16/14 14:41,6/19/14 3:15,,
Utility-Gas Main Rupture,,New York,8/13/14 13:54,8/13/14 16:20,,
Utility-Gas Main Rupture,7600 Shore Front Parkway,Queens,10/9/14 9:01,10/9/14 14:18,40.58655105,-73.80350488
Utility-Gas Main Rupture,27-06 Seagirt Ave,Queens,2/6/15 13:48,2/6/15 15:10,40.59503278,-73.76026679
Utility-Gas Main Rupture,Bond St & Schermerhorn st,Brooklyn,3/9/15 11:51,3/9/15 13:09,40.68817349,-73.98398659
Utility-Gas Main Rupture,155 West 35 Street,Manhattan,4/15/15 2:11,4/15/15 3:01,40.75118277,-73.98898826
Utility-Gas Main Rupture,88-08 164 Street,Queens,4/24/15 10:39,4/24/15 12:25,,
Utility-Gas Main Rupture,10622 Farragut Road,Brooklyn,5/22/15 21:07,5/22/15 23:11,40.65130432,-73.89672531
Utility-Gas Main Rupture,8900 Van Wyck Expressway,queens,6/1/15 16:12,6/1/15 19:26,40.71400364,-73.82998933
Utility-Gas Main Rupture,127 Pearl Street,Manhattan,6/3/15 20:51,6/4/15 11:36,40.70506285,-74.00853712
Utility-Gas Main Rupture,thompson street & Front Street,Staten Island,6/18/15 8:20,6/18/15 9:47,40.62611328,-74.07397651
Utility-Gas Main Rupture,East 68 Street & 2nd Avenue,Manhattan,9/29/15 19:06,10/14/15 20:48,40.76623959,-73.96023181
Utility-Gas Main Rupture,250 Ashland Place,Brooklyn,3/2/16 13:57,3/2/16 15:33,40.68772243,-73.97833643
Utility-Gas Main Rupture,East 71 Street & York Avenue,Manhattan,3/30/16 14:38,4/2/16 10:54,,
Utility-Gas Main Rupture,2316 Surf Avenue,Brooklyn,6/22/16 15:42,6/25/16 12:45,40.57389492,-73.99003979
Utility-Gas Main Rupture,33 Eagle Street,Brooklyn,7/22/16 10:28,7/22/16 11:29,40.73476248,-73.9592583
Utility-Gas Main Rupture,112 Atlantic Avenue,Brooklyn,8/17/16 8:42,8/17/16 10:33,40.69067228,-73.99595413
Utility-Gas Main Rupture,,Brooklyn,9/30/16 8:10,9/30/16 9:54,,
